# Year Built,Floor Area,Energy Star Score,Site EUI
2.008000000000000000e+03,2.094163684199999989e+04,1.700000000000000000e+01,1.924300509999999917e+02
2.006000000000000000e+03,6.409285066999999799e+03,2.300000000000000000e+01,1.883290827000000149e+02
1.950000000000000000e+03,9.642402369999999792e+03,8.500000000000000000e+01,1.949537237999999775e+02
1.985000000000000000e+03,5.436683560000000398e+03,1.000000000000000000e+00,9.804468828000000258e+02
1.989000000000000000e+03,1.040513600000000042e+04,8.300000000000000000e+01,1.608841409999999996e+02
2.009000000000000000e+03,2.525354378100000031e+04,5.900000000000000000e+01,1.820199006999999938e+02
2.014000000000000000e+03,1.264790732299999945e+04,8.200000000000000000e+01,1.063097167000000098e+02
1.959000000000000000e+03,6.874822000000000116e+03,7.900000000000000000e+01,1.599377637000000050e+02
1.968000000000000000e+03,9.427424827999999252e+03,6.600000000000000000e+01,2.542600345999999831e+02
1.963000000000000000e+03,6.639684506999999940e+03,6.000000000000000000e+01,2.009474467000000004e+02
2.016000000000000000e+03,2.597725815099999818e+04,4.000000000000000000e+01,2.293387657000000104e+02
1.917000000000000000e+03,7.920073653000000377e+03,6.600000000000000000e+01,2.444808024999999816e+02
2.017000000000000000e+03,1.513501353600000039e+04,7.900000000000000000e+01,1.526822043999999892e+02
1.967000000000000000e+03,4.523558553599999868e+04,5.700000000000000000e+01,2.384870795999999871e+02
2.017000000000000000e+03,2.591872926100000041e+04,7.800000000000000000e+01,1.230290490000000005e+02
1.942000000000000000e+03,9.166088689000000159e+03,6.600000000000000000e+01,2.706639078000000040e+02
2.008000000000000000e+03,3.012807128799999919e+04,9.000000000000000000e+01,1.353319539000000020e+02
1.941000000000000000e+03,7.857921545999999580e+03,9.500000000000000000e+01,1.580450090999999873e+02
1.928000000000000000e+03,2.927262046399999963e+04,4.800000000000000000e+01,3.126199680999999941e+02
1.969000000000000000e+03,3.028489155200000096e+04,1.000000000000000000e+02,4.416427399999999892e+01
1.965000000000000000e+03,6.378719979999999850e+03,6.100000000000000000e+01,1.703479140000000029e+02
1.956000000000000000e+03,4.749015553999999611e+03,1.100000000000000000e+01,3.905383658000000082e+02
1.966000000000000000e+03,7.583671889999999621e+03,3.700000000000000000e+01,2.984243085999999607e+02
1.930000000000000000e+03,7.952496799999999894e+03,6.600000000000000000e+01,2.687711532000000147e+02
1.943000000000000000e+03,6.086447141999999985e+03,9.800000000000000000e+01,1.473193997000000195e+02
1.939000000000000000e+03,6.458802365999999893e+03,7.400000000000000000e+01,2.460580980000000011e+02
2.002000000000000000e+03,1.244928070900000057e+04,9.500000000000000000e+01,9.589956639999999766e+01
1.911000000000000000e+03,8.356624850000000151e+03,7.900000000000000000e+01,1.810735233999999991e+02
1.942000000000000000e+03,2.266833199999999852e+04,4.500000000000000000e+01,2.653011030999999775e+02
2.017000000000000000e+03,1.624771276699999908e+04,9.200000000000000000e+01,1.028396666000000010e+02
