# Energy Star Score,Floor Area,Occupancy,Site EUI,Year Built
6.800000000000000000e+01,3.369703293600000325e+04,1.000000000000000000e+02,1.217672126000000077e+02,1.966000000000000000e+03
8.400000000000000000e+01,3.068400283999999829e+03,1.000000000000000000e+02,9.873869829999999581e+01,1.983000000000000000e+03
5.500000000000000000e+01,2.804555764000000181e+03,1.000000000000000000e+02,1.375401675999999895e+02,1.996000000000000000e+03
9.800000000000000000e+01,1.053742987200000061e+04,1.000000000000000000e+02,7.192467480000000535e+01,1.969000000000000000e+03
4.700000000000000000e+01,3.612626057999999830e+03,1.000000000000000000e+02,1.476348587999999893e+02,1.979000000000000000e+03
6.300000000000000000e+01,1.927923056000000088e+03,1.000000000000000000e+02,1.173507852000000042e+02,1.988000000000000000e+03
9.000000000000000000e+00,2.217780416000000059e+03,1.000000000000000000e+02,1.851744917000000044e+02,1.963000000000000000e+03
9.900000000000000000e+01,8.179180119999999988e+03,9.500000000000000000e+01,9.905415739999999403e+01,2.004000000000000000e+03
1.000000000000000000e+02,3.718721284000000196e+03,1.000000000000000000e+02,5.899085169999999323e+01,1.963000000000000000e+03
4.400000000000000000e+01,5.367470825000000332e+03,1.000000000000000000e+02,1.602532227999999748e+02,1.927000000000000000e+03
8.100000000000000000e+01,1.864841918999999962e+03,1.000000000000000000e+02,1.148271123999999901e+02,1.988000000000000000e+03
1.500000000000000000e+01,1.924485644999999977e+03,1.000000000000000000e+02,2.088339242000000127e+02,1.962000000000000000e+03
8.600000000000000000e+01,4.127401581000000078e+03,1.000000000000000000e+02,9.242951630000000307e+01,1.985000000000000000e+03
4.100000000000000000e+01,2.046838895999999977e+03,1.000000000000000000e+02,1.488966952000000106e+02,1.967000000000000000e+03
4.100000000000000000e+01,2.908978736000000026e+03,1.000000000000000000e+02,1.498430725000000052e+02,1.965000000000000000e+03
7.400000000000000000e+01,2.203380450999999994e+03,1.000000000000000000e+02,1.299691492000000039e+02,1.964000000000000000e+03
9.400000000000000000e+01,2.756432009999999991e+03,1.000000000000000000e+02,8.801308889999999963e+01,1.988000000000000000e+03
9.300000000000000000e+01,1.416845072400000026e+04,1.000000000000000000e+02,9.905415739999999403e+01,1.914000000000000000e+03
8.900000000000000000e+01,8.662554428999999800e+03,9.500000000000000000e+01,1.145116532999999919e+02,2.004000000000000000e+03
3.600000000000000000e+01,5.213530553999999938e+03,1.000000000000000000e+02,1.712942912999999976e+02,1.927000000000000000e+03
5.900000000000000000e+01,2.676628333000000111e+03,1.000000000000000000e+02,1.195589988999999917e+02,1.998000000000000000e+03
5.800000000000000000e+01,3.176353569999999763e+03,1.000000000000000000e+02,1.425875132000000178e+02,1.964000000000000000e+03
5.300000000000000000e+01,3.795923676999999770e+03,1.000000000000000000e+02,1.520512861999999927e+02,1.930000000000000000e+03
2.900000000000000000e+01,3.761419502800000191e+04,1.000000000000000000e+02,1.369092493999999931e+02,1.977000000000000000e+03
9.600000000000000000e+01,2.483854608000000098e+03,1.000000000000000000e+02,1.154580306000000007e+02,1.928000000000000000e+03
6.300000000000000000e+01,1.953935895999999957e+03,9.500000000000000000e+01,1.545749590000000069e+02,1.979000000000000000e+03
9.600000000000000000e+01,3.929796899999999823e+03,1.000000000000000000e+02,9.779232100000000116e+01,1.979000000000000000e+03
7.200000000000000000e+01,3.084751212000000123e+03,1.000000000000000000e+02,1.271300172999999916e+02,1.957000000000000000e+03
9.700000000000000000e+01,5.170516464999999698e+03,9.500000000000000000e+01,1.504739907000000017e+02,1.990000000000000000e+03
5.800000000000000000e+01,3.149597506000000067e+03,1.000000000000000000e+02,1.482657769999999857e+02,1.964000000000000000e+03
9.800000000000000000e+01,3.067935769000000164e+03,1.000000000000000000e+02,8.044207049999999981e+01,1.969000000000000000e+03
3.600000000000000000e+01,4.198100763999999799e+03,1.000000000000000000e+02,1.501585316000000034e+02,1.987000000000000000e+03
1.400000000000000000e+01,2.632499408000000130e+03,1.000000000000000000e+02,2.164049425999999698e+02,1.971000000000000000e+03
8.800000000000000000e+01,3.156658133999999791e+03,1.000000000000000000e+02,1.078870122000000009e+02,2.008000000000000000e+03
9.800000000000000000e+01,4.150348621999999523e+03,8.000000000000000000e+01,1.173507852000000042e+02,2.004000000000000000e+03
6.500000000000000000e+01,3.447816135999999915e+03,1.000000000000000000e+02,1.268145582000000076e+02,1.961000000000000000e+03
1.000000000000000000e+02,2.627668451999999888e+03,9.500000000000000000e+01,6.940100200000000719e+00,1.971000000000000000e+03
7.300000000000000000e+01,3.730677900100000261e+04,9.500000000000000000e+01,1.249218036000000041e+02,2.003000000000000000e+03
6.100000000000000000e+01,2.146059299999999894e+03,9.000000000000000000e+01,1.570986317999999926e+02,1.966000000000000000e+03
