# Floor Area,Year Built,Energy Star Score,Site EUI
7.008137805000000299e+03,1.925000000000000000e+03,1.000000000000000000e+02,2.145121879999999948e+01
9.485396300000000338e+03,1.958000000000000000e+03,1.900000000000000000e+01,3.965320886999999743e+02
1.090068060200000036e+04,1.980000000000000000e+03,7.300000000000000000e+01,2.785503852999999594e+02
5.833007757999999740e+04,1.974000000000000000e+03,3.900000000000000000e+01,3.157745590999999763e+02
5.510076930000000175e+03,1.950000000000000000e+03,2.600000000000000000e+01,3.757117880999999784e+02
9.449164129999999204e+03,1.960000000000000000e+03,8.500000000000000000e+01,2.141967289000000108e+02
6.664210898999999699e+03,1.974000000000000000e+03,2.900000000000000000e+01,1.921145918999999935e+02
2.588314741199999844e+04,1.968000000000000000e+03,1.000000000000000000e+02,1.186126215999999971e+02
4.840246299999999792e+03,1.898000000000000000e+03,9.300000000000000000e+01,1.722406685999999922e+02
9.256576210999999603e+03,1.973000000000000000e+03,7.400000000000000000e+01,2.186131562999999858e+02
8.247556727999999566e+03,1.935000000000000000e+03,7.800000000000000000e+01,2.012629057999999986e+02
2.421135792700000093e+04,1.966000000000000000e+03,3.700000000000000000e+01,3.242919547999999850e+02
8.732881999999999607e+03,1.996000000000000000e+03,9.800000000000000000e+01,1.905372964000000024e+02
1.115300514999999905e+04,1.927000000000000000e+03,2.700000000000000000e+01,2.694020714000000112e+02
1.134912338300000010e+04,1.996000000000000000e+03,5.200000000000000000e+01,2.763421715999999719e+02
1.659684224099999847e+04,2.000000000000000000e+03,6.200000000000000000e+01,1.895909191000000078e+02
3.543134614000000147e+04,1.963000000000000000e+03,5.700000000000000000e+01,2.719257441999999969e+02
6.540371199999999590e+03,1.974000000000000000e+03,8.100000000000000000e+01,1.627768955999999889e+02
3.680259442000000126e+04,1.998000000000000000e+03,4.000000000000000000e+01,2.384870795999999871e+02
8.407721499999999651e+03,2.002000000000000000e+03,9.500000000000000000e+01,1.741334232000000100e+02
4.791379321999999775e+03,1.967000000000000000e+03,4.400000000000000000e+01,2.908532902000000036e+02
1.230816105199999947e+04,1.963000000000000000e+03,3.200000000000000000e+01,3.160900181999999745e+02
2.402908224100000007e+04,2.007000000000000000e+03,6.300000000000000000e+01,1.867517871999999954e+02
