# Year Built,Floor Area,Energy Star Score,Site EUI
1.962000000000000000e+03,8.361269999999999709e+04,5.800000000000000000e+01,2.050484150000000056e+02
1.934000000000000000e+03,2.053435008999999809e+03,9.800000000000000000e+01,2.031556604000000164e+02
1.964000000000000000e+03,1.185581634499999927e+04,6.700000000000000000e+01,2.022092830999999649e+02
1.909000000000000000e+03,1.300642000000000007e+04,3.700000000000000000e+01,2.022092830999999649e+02
2.008000000000000000e+03,5.556872171099999832e+04,4.000000000000000000e+01,2.018938239999999951e+02
1.960000000000000000e+03,5.843134184999999889e+03,6.700000000000000000e+01,2.003165285000000040e+02
1.970000000000000000e+03,1.579351000000000022e+04,6.700000000000000000e+01,1.965310192999999970e+02
2.001000000000000000e+03,2.506913132599999881e+04,2.600000000000000000e+01,1.965310192999999970e+02
1.964000000000000000e+03,8.561568868000000293e+03,7.400000000000000000e+01,1.962155601999999988e+02
1.968000000000000000e+03,2.993938529500000004e+04,8.100000000000000000e+01,1.959001011000000005e+02
1.965000000000000000e+03,1.105545700000000033e+04,8.300000000000000000e+01,1.955846420000000023e+02
2.012000000000000000e+03,6.767054519999999684e+03,7.300000000000000000e+01,1.952691829000000041e+02
1.971000000000000000e+03,2.381103889999999956e+04,4.200000000000000000e+01,1.940073464999999828e+02
2.006000000000000000e+03,9.197397000000000844e+03,2.000000000000000000e+01,1.940073464999999828e+02
2.015000000000000000e+03,7.943020693999999821e+03,2.000000000000000000e+01,1.930609692000000166e+02
1.998000000000000000e+03,3.919577569999999923e+03,7.500000000000000000e+01,1.927455100999999900e+02
1.974000000000000000e+03,1.980924217499999941e+04,5.100000000000000000e+01,1.902218372999999758e+02
1.910000000000000000e+03,1.532899500000000080e+04,9.000000000000000000e+00,1.892754600000000096e+02
1.972000000000000000e+03,2.094033620000000155e+04,7.200000000000000000e+01,1.889600008999999829e+02
1.974000000000000000e+03,1.669634135400000014e+04,7.800000000000000000e+01,1.876981644999999901e+02
1.979000000000000000e+03,4.709940552200000093e+04,8.000000000000000000e+00,1.873827053999999919e+02
1.950000000000000000e+03,4.830956000000000131e+03,3.000000000000000000e+00,1.861208689999999990e+02
1.970000000000000000e+03,1.498618292999999903e+04,7.000000000000000000e+01,1.858054099000000008e+02
1.924000000000000000e+03,4.130467379999999685e+04,4.800000000000000000e+01,1.854899507999999742e+02
1.980000000000000000e+03,1.228790819799999917e+04,4.000000000000000000e+01,1.851744917000000044e+02
1.980000000000000000e+03,6.531917027000000417e+03,4.000000000000000000e+01,1.851744917000000044e+02
1.980000000000000000e+03,4.705722756000000118e+03,4.000000000000000000e+01,1.851744917000000044e+02
1.980000000000000000e+03,4.654440300000000207e+03,4.000000000000000000e+01,1.851744917000000044e+02
1.980000000000000000e+03,4.412892500000000291e+04,4.000000000000000000e+01,1.851744917000000044e+02
1.990000000000000000e+03,6.227009380999999848e+03,5.800000000000000000e+01,1.851744917000000044e+02
1.978000000000000000e+03,1.873491188300000067e+04,6.400000000000000000e+01,1.839126552999999831e+02
2.017000000000000000e+03,2.586438100599999962e+04,3.500000000000000000e+01,1.839126552999999831e+02
1.980000000000000000e+03,1.945732561100000021e+04,5.600000000000000000e+01,1.835971962000000133e+02
1.964000000000000000e+03,7.170439346000000114e+03,8.200000000000000000e+01,1.832817370999999866e+02
1.990000000000000000e+03,4.645150000000000000e+04,5.000000000000000000e+01,1.832817370999999866e+02
1.972000000000000000e+03,4.180634999999999854e+04,6.500000000000000000e+01,1.820199006999999938e+02
