# Year Built,Number of Floors,Floor Area,Energy Star Score,Site EUI
1.906000000000000000e+03,1.000000000000000000e+01,6.088398105000000214e+03,8.200000000000000000e+01,1.179817033999999865e+02
2.000000000000000000e+03,6.000000000000000000e+00,3.407310427999999774e+03,1.600000000000000000e+01,2.069411695999999665e+02
1.923000000000000000e+03,3.000000000000000000e+00,3.106676320000000032e+03,4.800000000000000000e+01,2.996861450000000104e+02
1.994000000000000000e+03,6.000000000000000000e+00,5.026238105999999789e+03,9.800000000000000000e+01,1.747643413999999780e+02
1.990000000000000000e+03,2.600000000000000000e+01,2.104252950000000055e+04,3.700000000000000000e+01,2.157740244000000018e+02
2.000000000000000000e+03,7.000000000000000000e+00,1.323839879099999962e+04,9.900000000000000000e+01,7.918023410000000695e+01
2.008000000000000000e+03,7.000000000000000000e+00,1.330213024899999982e+04,9.700000000000000000e+01,1.422720540999999912e+02
1.918000000000000000e+03,3.000000000000000000e+00,1.977347451999999976e+03,9.300000000000000000e+01,1.274454763999999898e+02
2.002000000000000000e+03,6.000000000000000000e+00,5.618401828000000023e+03,8.400000000000000000e+01,1.646696502000000066e+02
2.001000000000000000e+03,3.100000000000000000e+01,5.001330811700000049e+04,6.500000000000000000e+01,1.302846082999999737e+02
1.991000000000000000e+03,6.000000000000000000e+00,2.334559486999999990e+03,7.000000000000000000e+01,1.621459773999999925e+02
1.910000000000000000e+03,4.000000000000000000e+00,1.959788784999999962e+03,9.700000000000000000e+01,1.100952258999999884e+02
1.989000000000000000e+03,5.000000000000000000e+00,1.199303407599999991e+04,9.300000000000000000e+01,1.000005346999999887e+02
1.925000000000000000e+03,3.000000000000000000e+00,1.687304286000000047e+03,8.200000000000000000e+01,8.170390689999999267e+01
1.991000000000000000e+03,6.000000000000000000e+00,2.885009762000000137e+03,9.500000000000000000e+01,1.006314528999999993e+02
1.922000000000000000e+03,3.000000000000000000e+00,3.164276179999999840e+03,9.300000000000000000e+01,1.829662779999999884e+02
1.925000000000000000e+03,7.000000000000000000e+00,3.465281899999999951e+03,4.700000000000000000e+01,1.993701512000000093e+02
1.998000000000000000e+03,6.000000000000000000e+00,2.362606902700000137e+04,8.500000000000000000e+01,9.432227089999999237e+01
2.000000000000000000e+03,6.000000000000000000e+00,1.112643489199999931e+04,8.500000000000000000e+01,8.359666149999999618e+01
1.925000000000000000e+03,3.000000000000000000e+00,3.775206307999999808e+03,8.100000000000000000e+01,1.864363280999999972e+02
1.923000000000000000e+03,3.000000000000000000e+00,2.081027199999999993e+03,5.300000000000000000e+01,1.154580306000000007e+02
1.979000000000000000e+03,1.300000000000000000e+01,6.521790600000000268e+03,2.600000000000000000e+01,1.564677135999999962e+02
1.929000000000000000e+03,6.000000000000000000e+00,2.029001520000000028e+03,7.500000000000000000e+01,1.400638404000000037e+02
1.925000000000000000e+03,3.000000000000000000e+00,2.600633679000000029e+03,6.100000000000000000e+01,2.839131899999999860e+02
1.949000000000000000e+03,1.800000000000000000e+01,3.034388495699999839e+04,7.500000000000000000e+01,1.873827053999999919e+02
1.994000000000000000e+03,8.000000000000000000e+00,2.087827699600000051e+04,1.000000000000000000e+02,5.047345599999999877e+01
1.914000000000000000e+03,6.000000000000000000e+00,5.816378120999999737e+03,9.200000000000000000e+01,7.949569319999999095e+01
1.930000000000000000e+03,3.000000000000000000e+00,2.765257794999999987e+03,7.700000000000000000e+01,1.608841409999999996e+02
1.928000000000000000e+03,4.000000000000000000e+00,2.525289346000000023e+03,3.900000000000000000e+01,2.413262114999999994e+02
1.999000000000000000e+03,4.000000000000000000e+00,8.494585805000000619e+03,9.300000000000000000e+01,8.801308889999999963e+01
1.910000000000000000e+03,4.000000000000000000e+00,5.741591206000000057e+03,6.900000000000000000e+01,2.006319876000000022e+02
2.002000000000000000e+03,4.000000000000000000e+00,3.954044582999999875e+03,4.600000000000000000e+01,1.239754262999999810e+02
1.968000000000000000e+03,8.000000000000000000e+00,4.783575469999999768e+03,9.900000000000000000e+01,9.463773000000000479e+01
1.987000000000000000e+03,4.000000000000000000e+00,4.212965243999999984e+03,8.600000000000000000e+01,9.400681179999999415e+01
1.969000000000000000e+03,5.000000000000000000e+00,9.231956915999999183e+03,1.000000000000000000e+02,6.435365639999999132e+01
1.964000000000000000e+03,4.000000000000000000e+00,2.484597831999999926e+03,9.500000000000000000e+01,7.381742939999999464e+01
2.002000000000000000e+03,5.000000000000000000e+00,1.114798838799999976e+04,6.500000000000000000e+01,1.372247084999999913e+02
1.997000000000000000e+03,4.000000000000000000e+00,2.210533981999999924e+03,5.300000000000000000e+01,8.138844779999999446e+01
1.988000000000000000e+03,4.000000000000000000e+00,4.551875388000000385e+03,6.100000000000000000e+01,1.028396666000000010e+02
2.007000000000000000e+03,4.000000000000000000e+00,3.445772269999999935e+03,7.300000000000000000e+01,7.413288849999999286e+01
1.998000000000000000e+03,3.000000000000000000e+00,2.186286298999999872e+03,7.400000000000000000e+01,1.583604682000000139e+02
2.001000000000000000e+03,6.000000000000000000e+00,4.654254493999999795e+03,6.800000000000000000e+01,1.384865448999999842e+02
1.958000000000000000e+03,3.000000000000000000e+00,3.029752636000000166e+03,8.400000000000000000e+01,7.854931589999999630e+01
1.971000000000000000e+03,4.000000000000000000e+00,5.433431955000000016e+03,4.000000000000000000e+01,1.347010357000000056e+02
1.999000000000000000e+03,3.000000000000000000e+00,8.511494151000000784e+03,8.500000000000000000e+01,9.747686189999998874e+01
1.988000000000000000e+03,4.000000000000000000e+00,4.891714562000000114e+03,9.700000000000000000e+01,9.400681179999999415e+01
1.960000000000000000e+03,4.000000000000000000e+00,2.000015783999999940e+03,6.400000000000000000e+01,9.653048460000000830e+01
1.980000000000000000e+03,2.000000000000000000e+00,2.537682606200000009e+04,9.200000000000000000e+01,1.318619037999999932e+02
1.959000000000000000e+03,3.000000000000000000e+00,2.430063771000000088e+03,1.000000000000000000e+00,2.318624384999999961e+02
1.909000000000000000e+03,3.000000000000000000e+00,2.189537903999999799e+03,8.800000000000000000e+01,1.246063444999999916e+02
1.917000000000000000e+03,3.000000000000000000e+00,1.963040389999999888e+03,7.100000000000000000e+01,2.432189660999999887e+02
1.914000000000000000e+03,6.000000000000000000e+00,3.426262639999999919e+03,8.900000000000000000e+01,1.776034732999999903e+02
2.008000000000000000e+03,2.700000000000000000e+01,3.160690124199999991e+04,3.500000000000000000e+01,1.523667452999999909e+02
1.970000000000000000e+03,2.300000000000000000e+01,1.302880962299999919e+04,1.800000000000000000e+01,1.987392329999999845e+02
1.949000000000000000e+03,3.000000000000000000e+00,1.484775746000000072e+04,9.300000000000000000e+01,1.012623710999999957e+02
1.968000000000000000e+03,3.000000000000000000e+00,5.653890774000000420e+03,9.000000000000000000e+01,1.031551257000000135e+02
1.986000000000000000e+03,3.000000000000000000e+00,3.699025847999999769e+03,3.600000000000000000e+01,1.078870122000000009e+02
1.956000000000000000e+03,2.000000000000000000e+00,1.895221199999999953e+03,5.100000000000000000e+01,1.463730223999999964e+02
1.969000000000000000e+03,3.000000000000000000e+00,2.628783288000000084e+03,8.400000000000000000e+01,8.864400709999999606e+01
1.982000000000000000e+03,4.000000000000000000e+00,3.870710591999999906e+03,9.000000000000000000e+01,7.003192020000000184e+01
2.012000000000000000e+03,7.000000000000000000e+00,6.261940908999999920e+03,2.200000000000000000e+01,2.444808024999999816e+02
2.008000000000000000e+03,3.700000000000000000e+01,3.451708771700000216e+04,1.000000000000000000e+02,6.309181999999999846e+01
1.990000000000000000e+03,4.000000000000000000e+00,2.368097470000000158e+03,8.400000000000000000e+01,8.895946619999999427e+01
2.010000000000000000e+03,7.000000000000000000e+00,2.765127730800000063e+04,9.600000000000000000e+01,1.069406348999999921e+02
1.992000000000000000e+03,4.000000000000000000e+00,2.901918107999999847e+03,9.000000000000000000e+01,8.548941609999999969e+01
2.005000000000000000e+03,7.000000000000000000e+00,1.307693337699999938e+04,9.400000000000000000e+01,9.432227089999999237e+01
1.961000000000000000e+03,3.000000000000000000e+00,4.064692055999999866e+03,4.400000000000000000e+01,1.189280807000000095e+02
1.968000000000000000e+03,4.000000000000000000e+00,1.491659858299999905e+04,9.400000000000000000e+01,1.151425715000000025e+02
1.969000000000000000e+03,4.000000000000000000e+00,3.221690234000000146e+03,6.600000000000000000e+01,9.526864820000000122e+01
1.977000000000000000e+03,4.000000000000000000e+00,1.605735451999999896e+03,8.500000000000000000e+01,1.012623710999999957e+02
1.965000000000000000e+03,3.000000000000000000e+00,1.994534507000000076e+03,6.400000000000000000e+01,8.959038439999999071e+01
1.984000000000000000e+03,4.000000000000000000e+00,4.668561555999999655e+03,3.700000000000000000e+01,1.255527217999999863e+02
1.988000000000000000e+03,3.000000000000000000e+00,4.006906390000000101e+03,8.800000000000000000e+01,8.990584350000000313e+01
1.928000000000000000e+03,8.000000000000000000e+00,8.686616305999999895e+03,9.600000000000000000e+01,1.006314528999999993e+02
1.956000000000000000e+03,4.000000000000000000e+00,2.205703026000000136e+03,9.100000000000000000e+01,8.769762980000000141e+01
1.964000000000000000e+03,4.000000000000000000e+00,1.556868473999999878e+03,7.800000000000000000e+01,1.006314528999999993e+02
1.981000000000000000e+03,3.000000000000000000e+00,1.967313928000000033e+03,7.000000000000000000e+01,9.179859810000000664e+01
1.962000000000000000e+03,5.000000000000000000e+00,2.886960724999999911e+03,9.900000000000000000e+01,6.971646110000000363e+01
1.925000000000000000e+03,3.000000000000000000e+00,2.666316100000000006e+03,3.900000000000000000e+01,1.097797667999999902e+02
1.924000000000000000e+03,3.000000000000000000e+00,2.094219426000000112e+03,9.700000000000000000e+01,8.832854799999999784e+01
1.916000000000000000e+03,3.000000000000000000e+00,2.073594959999999901e+03,4.600000000000000000e+01,2.482663117000000170e+02
1.964000000000000000e+03,4.000000000000000000e+00,2.474843017000000145e+03,9.300000000000000000e+01,7.791839769999999987e+01
1.963000000000000000e+03,4.000000000000000000e+00,2.570718913000000157e+03,7.700000000000000000e+01,9.432227089999999237e+01
1.941000000000000000e+03,3.000000000000000000e+00,2.280582844000000023e+03,9.500000000000000000e+01,9.274497539999998708e+01
1.970000000000000000e+03,9.000000000000000000e+00,4.968452440000000024e+03,8.800000000000000000e+01,1.072560939999999903e+02
2.004000000000000000e+03,7.000000000000000000e+00,1.063767220900000029e+04,9.200000000000000000e+01,8.864400709999999606e+01
1.998000000000000000e+03,6.000000000000000000e+00,2.426626360000000204e+03,8.800000000000000000e+01,1.435338904999999841e+02
1.999000000000000000e+03,6.000000000000000000e+00,4.439927273000000241e+03,1.000000000000000000e+02,7.255559300000000178e+01
1.969000000000000000e+03,4.000000000000000000e+00,2.757639748999999938e+03,7.300000000000000000e+01,9.463773000000000479e+01
1.971000000000000000e+03,5.000000000000000000e+00,5.232204056999999921e+03,4.500000000000000000e+01,1.608841409999999996e+02
1.975000000000000000e+03,4.000000000000000000e+00,2.875162044000000151e+03,9.300000000000000000e+01,6.624641099999999483e+01
1.988000000000000000e+03,4.000000000000000000e+00,2.860111758000000009e+03,8.100000000000000000e+01,9.369135269999999593e+01
1.984000000000000000e+03,4.000000000000000000e+00,3.850179028999999900e+03,2.700000000000000000e+01,1.164044078999999954e+02
1.975000000000000000e+03,3.000000000000000000e+00,1.214056403999999930e+04,1.600000000000000000e+01,8.580487519999999790e+01
1.989000000000000000e+03,5.000000000000000000e+00,8.972385933999999907e+03,9.400000000000000000e+01,8.391212060000000861e+01
1.961000000000000000e+03,4.000000000000000000e+00,2.864571101999999883e+03,9.700000000000000000e+01,7.129375660000000892e+01
1.985000000000000000e+03,4.000000000000000000e+00,3.677193643000000066e+03,9.400000000000000000e+01,6.340727910000000378e+01
1.991000000000000000e+03,5.000000000000000000e+00,5.050207080000000133e+03,8.200000000000000000e+01,1.104106850000000009e+02
1.990000000000000000e+03,3.000000000000000000e+00,6.522440921000000344e+03,3.000000000000000000e+01,1.558367953999999997e+02
1.992000000000000000e+03,4.000000000000000000e+00,7.593147995999999694e+03,9.400000000000000000e+01,8.706671160000000498e+01
1.984000000000000000e+03,4.000000000000000000e+00,2.468246904000000086e+03,9.900000000000000000e+01,7.066283839999999827e+01
2.007000000000000000e+03,6.000000000000000000e+00,1.695424008200000026e+04,9.700000000000000000e+01,9.053676169999999956e+01
2.007000000000000000e+03,6.000000000000000000e+00,1.054096018600000025e+04,9.300000000000000000e+01,9.116767989999999600e+01
1.907000000000000000e+03,5.000000000000000000e+00,3.851015155999999934e+03,9.700000000000000000e+01,1.397483812999999770e+02
1.979000000000000000e+03,9.000000000000000000e+00,6.001719605999999658e+03,6.400000000000000000e+01,1.697169957999999781e+02
2.008000000000000000e+03,7.000000000000000000e+00,1.320142339700000048e+04,4.800000000000000000e+01,2.482663117000000170e+02
1.960000000000000000e+03,2.000000000000000000e+00,2.228092649000000165e+03,5.700000000000000000e+01,9.589956639999999766e+01
1.963000000000000000e+03,4.000000000000000000e+00,2.405351572999999917e+03,8.200000000000000000e+01,7.949569319999999095e+01
1.920000000000000000e+03,3.000000000000000000e+00,2.366703924999999799e+03,8.700000000000000000e+01,1.397483812999999770e+02
1.968000000000000000e+03,3.000000000000000000e+00,3.788491437000000133e+03,7.000000000000000000e+01,1.009469119999999975e+02
1.965000000000000000e+03,3.000000000000000000e+00,3.560786184000000048e+03,7.300000000000000000e+01,1.160889487999999830e+02
2.008000000000000000e+03,6.000000000000000000e+00,1.479731113100000039e+04,9.400000000000000000e+01,1.189280807000000095e+02
1.971000000000000000e+03,7.000000000000000000e+00,8.015949548999999934e+03,5.900000000000000000e+01,1.394329222000000073e+02
2.001000000000000000e+03,5.000000000000000000e+00,2.113348153699999966e+04,9.000000000000000000e+01,1.463730223999999964e+02
1.986000000000000000e+03,3.000000000000000000e+00,4.697826001000000360e+03,9.100000000000000000e+01,9.148313899999999421e+01
1.978000000000000000e+03,4.000000000000000000e+00,6.803658301999999821e+03,8.000000000000000000e+01,8.801308889999999963e+01
1.988000000000000000e+03,5.000000000000000000e+00,1.229645527399999992e+04,3.600000000000000000e+01,1.201899171000000024e+02
1.980000000000000000e+03,3.000000000000000000e+00,4.846377897999999732e+03,6.000000000000000000e+01,9.179859810000000664e+01
1.969000000000000000e+03,7.000000000000000000e+00,1.032858392800000001e+04,7.000000000000000000e+01,1.249218036000000041e+02
1.968000000000000000e+03,3.000000000000000000e+00,3.444843240000000151e+03,6.900000000000000000e+01,1.006314528999999993e+02
2.002000000000000000e+03,3.000000000000000000e+00,2.053899523999999928e+03,4.500000000000000000e+01,1.246063444999999916e+02
2.008000000000000000e+03,4.000000000000000000e+00,4.901840989000000263e+03,7.300000000000000000e+01,1.205053762000000006e+02
1.928000000000000000e+03,5.000000000000000000e+00,5.456657704999999623e+03,9.300000000000000000e+01,1.239754262999999810e+02
2.015000000000000000e+03,3.000000000000000000e+00,2.163989579000000049e+03,3.500000000000000000e+01,1.198744580000000042e+02
1.928000000000000000e+03,3.000000000000000000e+00,2.922263864999999896e+03,4.700000000000000000e+01,2.287078474999999855e+02
1.990000000000000000e+03,4.000000000000000000e+00,2.018131869000000052e+03,9.500000000000000000e+01,7.697202039999999101e+01
1.924000000000000000e+03,3.000000000000000000e+00,2.316907916999999998e+03,7.900000000000000000e+01,8.391212060000000861e+01
2.012000000000000000e+03,5.000000000000000000e+00,7.150372298000000228e+03,9.300000000000000000e+01,1.233445080999999988e+02
2.008000000000000000e+03,5.000000000000000000e+00,2.404794155000000046e+03,9.900000000000000000e+01,8.832854799999999784e+01
1.967000000000000000e+03,4.000000000000000000e+00,1.097686106199999995e+04,4.500000000000000000e+01,1.315464446999999950e+02
1.984000000000000000e+03,3.000000000000000000e+00,5.733508644999999888e+03,8.200000000000000000e+01,9.589956639999999766e+01
2.004000000000000000e+03,5.000000000000000000e+00,5.821766494999999850e+03,1.000000000000000000e+02,1.195589988999999917e+02
1.987000000000000000e+03,4.000000000000000000e+00,2.739895276000000194e+03,9.800000000000000000e+01,6.214544269999999671e+01
1.975000000000000000e+03,5.000000000000000000e+00,5.836166460000000370e+03,7.900000000000000000e+01,8.391212060000000861e+01
2.003000000000000000e+03,4.000000000000000000e+00,2.515441628000000037e+03,8.100000000000000000e+01,8.233482510000000332e+01
1.999000000000000000e+03,6.000000000000000000e+00,4.473279449999999997e+03,8.400000000000000000e+01,9.968507560000000467e+01
1.991000000000000000e+03,5.000000000000000000e+00,5.502365980999999920e+03,6.800000000000000000e+01,1.211362943999999970e+02
1.907000000000000000e+03,3.000000000000000000e+00,2.345614943999999923e+03,8.600000000000000000e+01,1.567831726999999944e+02
1.910000000000000000e+03,3.000000000000000000e+00,2.636587140000000090e+03,9.800000000000000000e+01,7.571018399999999815e+01
1.907000000000000000e+03,3.000000000000000000e+00,2.302415049000000181e+03,5.500000000000000000e+01,2.044174967999999808e+02
1.948000000000000000e+03,3.000000000000000000e+00,2.419565732000000025e+03,7.500000000000000000e+01,1.302846082999999737e+02
1.970000000000000000e+03,8.000000000000000000e+00,3.430536177999999836e+03,5.400000000000000000e+01,1.504739907000000017e+02
1.950000000000000000e+03,6.000000000000000000e+00,7.816672614000000067e+03,9.500000000000000000e+01,1.451111860000000036e+02
1.928000000000000000e+03,3.000000000000000000e+00,2.627668451999999888e+03,6.000000000000000000e+01,2.145121879999999805e+02
1.928000000000000000e+03,3.000000000000000000e+00,1.985894528000000037e+03,7.300000000000000000e+01,1.810735233999999991e+02
1.977000000000000000e+03,6.000000000000000000e+00,3.786540473999999904e+03,8.000000000000000000e+01,1.066251757999999938e+02
1.917000000000000000e+03,4.000000000000000000e+00,2.652009038000000146e+03,1.000000000000000000e+02,6.624641099999999483e+01
1.999000000000000000e+03,1.300000000000000000e+01,2.042695422200000030e+04,2.800000000000000000e+01,2.000010693999999773e+02
1.970000000000000000e+03,8.000000000000000000e+00,6.140516687999999704e+03,4.700000000000000000e+01,1.917991327999999953e+02
1.981000000000000000e+03,3.300000000000000000e+01,1.770824082999999882e+04,9.000000000000000000e+00,2.706639078000000040e+02
1.989000000000000000e+03,5.000000000000000000e+00,4.647751283999999941e+03,8.300000000000000000e+01,1.078870122000000009e+02
1.992000000000000000e+03,4.000000000000000000e+00,3.910565978999999970e+03,3.900000000000000000e+01,1.116725213999999937e+02
2.006000000000000000e+03,3.300000000000000000e+01,2.784813876499999969e+04,9.200000000000000000e+01,7.697202039999999101e+01
